,B25071_001E,B25071_001EA,B25071_001M,B25071_001MA,GEO_ID,NAME,state,county,tract
582,29.5,,3.9,,1400000US06073018615,,06,073,018615
583,37.7,,15.3,,1400000US06073018616,,06,073,018616
584,22.9,,13.2,,1400000US06073018617,,06,073,018617
585,33.9,,7.4,,1400000US06073018618,,06,073,018618
586,24.8,,4.5,,1400000US06073018619,,06,073,018619
587,26.7,,4.0,,1400000US06073018620,,06,073,018620
588,31.3,,3.3,,1400000US06073018621,,06,073,018621
589,33.7,,17.0,,1400000US06073018622,,06,073,018622
590,48.8,,6.1,,1400000US06073018700,,06,073,018700
591,28.9,,15.0,,1400000US06073018801,,06,073,018801
592,40.5,,15.8,,1400000US06073018803,,06,073,018803
593,22.1,,12.5,,1400000US06073018804,,06,073,018804
594,26.3,,12.5,,1400000US06073018805,,06,073,018805
595,36.0,,7.6,,1400000US06073018903,,06,073,018903
596,31.4,,8.3,,1400000US06073018904,,06,073,018904
597,34.6,,14.6,,1400000US06073018905,,06,073,018905
598,28.3,,7.8,,1400000US06073018906,,06,073,018906
599,20.0,,67.1,,1400000US06073019001,,06,073,019001
600,33.3,,10.8,,1400000US06073019002,,06,073,019002
601,48.5,,28.3,,1400000US06073019103,,06,073,019103
602,9.0,10.0-,-333333333.0,***,1400000US06073019105,,06,073,019105
603,37.7,,10.9,,1400000US06073019107,,06,073,019107
604,19.8,,4.6,,1400000US06073019108,,06,073,019108
605,37.6,,9.7,,1400000US06073019109,,06,073,019109
606,23.9,,3.4,,1400000US06073019110,,06,073,019110
607,51.0,50.0+,-333333333.0,***,1400000US06073019111,,06,073,019111
608,27.0,,13.8,,1400000US06073019203,,06,073,019203
609,46.3,,9.2,,1400000US06073019205,,06,073,019205
610,32.9,,6.9,,1400000US06073019206,,06,073,019206
611,51.0,50.0+,-333333333.0,***,1400000US06073019208,,06,073,019208
612,14.0,,44.0,,1400000US06073019209,,06,073,019209
613,28.7,,4.3,,1400000US06073019210,,06,073,019210
614,32.3,,8.1,,1400000US06073019301,,06,073,019301
615,29.2,,5.9,,1400000US06073019303,,06,073,019303
616,39.0,,4.1,,1400000US06073019304,,06,073,019304
617,41.5,,9.1,,1400000US06073019305,,06,073,019305
618,51.0,50.0+,-333333333.0,***,1400000US06073019403,,06,073,019403
619,36.7,,12.7,,1400000US06073019404,,06,073,019404
620,39.4,,9.4,,1400000US06073019405,,06,073,019405
621,41.0,,21.1,,1400000US06073019406,,06,073,019406
622,29.6,,5.2,,1400000US06073019501,,06,073,019501
623,47.2,,18.3,,1400000US06073019502,,06,073,019502
624,33.8,,3.4,,1400000US06073019503,,06,073,019503
625,33.0,,18.8,,1400000US06073019601,,06,073,019601
626,34.1,,9.5,,1400000US06073019602,,06,073,019602
627,44.8,,12.7,,1400000US06073019701,,06,073,019701
628,37.8,,3.9,,1400000US06073019702,,06,073,019702
629,39.1,,8.3,,1400000US06073019803,,06,073,019803
630,30.0,,20.5,,1400000US06073019804,,06,073,019804
631,32.5,,6.9,,1400000US06073019805,,06,073,019805
632,24.2,,2.9,,1400000US06073019808,,06,073,019808
633,20.8,,19.3,,1400000US06073019809,,06,073,019809
634,29.4,,60.7,,1400000US06073019810,,06,073,019810
635,40.9,,12.0,,1400000US06073019811,,06,073,019811
636,44.1,,14.7,,1400000US06073019902,,06,073,019902
637,34.8,,8.8,,1400000US06073019903,,06,073,019903
